symbol,price,vol_20d_pct,signal,confidence,buy_votes,sell_votes,best_strategy,bt_sharpe,bt_return_pct,bt_win_rate,bt_maxdd_pct,bt_trades,sig_TSMOM,sig_MA_Cross,sig_Reversal,sig_BB_Revert,sig_RSI_MR,sig_ML_Ensemble,sig_VRP,sig_MultiFactor
BABA,122.69,41.8,SELL,17.6,1,2,ML_Ensemble,0.217,-0.08,52.9,-19.84,17,0,0,0,0,0,-1,-1,1
JD,28.7,42.5,SELL,61.8,0,2,RSI_MR,9.398,18.59,100.0,0.0,8,0,0,0,0,0,0,-1,-1
PDD,99.81,31.1,NEUTRAL,50.0,1,1,BB_Revert,5.443,25.1,66.7,-1.88,6,0,0,0,0,0,0,-1,1
BIDU,108.12,34.5,BUY,64.0,4,1,ML_Ensemble,1.902,43.51,69.6,-20.11,23,0,0,1,1,1,0,-1,1
NIO,5.31,82.5,NEUTRAL,43.3,2,2,MultiFactor,3.087,48.38,53.3,-5.23,15,0,0,1,0,0,-1,-1,1
XPEV,16.93,70.5,SELL,58.8,1,3,Reversal,2.46,73.92,68.4,-22.12,19,0,0,1,0,0,-1,-1,-1
LI,17.46,44.3,SELL,68.7,0,3,BB_Revert,6.472,19.92,83.3,-1.27,6,0,0,0,0,0,-1,-1,-1
TCOM,48.49,26.0,BUY,75.0,4,2,BB_Revert,3.76,35.91,66.7,-1.13,6,0,0,1,1,1,1,-1,-1
TME,9.43,99.4,SELL,58.8,2,3,VRP,2.069,100.68,68.2,-23.66,44,0,0,1,0,1,-1,-1,-1
BILI,22.33,55.1,BUY,28.8,3,2,TSMOM,0.0,0.0,0.0,0.0,0,0,0,1,0,1,-1,-1,1
IQ,1.2,47.8,SELL,62.5,0,2,ML_Ensemble,3.474,92.96,69.6,-14.53,23,0,0,0,0,0,0,-1,-1
VNET,8.45,79.7,NEUTRAL,50.0,2,2,RSI_MR,10.484,70.84,100.0,0.0,6,0,0,1,0,0,-1,-1,1
QFIN,12.77,50.0,SELL,68.8,2,3,VRP,4.304,345.0,75.0,-9.67,44,0,0,1,0,1,-1,-1,-1
FUTU,133.94,50.0,NEUTRAL,23.9,2,2,Reversal,0.915,11.97,58.8,-20.0,17,0,0,1,0,0,-1,-1,1
TIGR,6.07,51.3,BUY,68.8,3,2,RSI_MR,9.309,38.06,87.5,0.0,8,0,0,1,1,1,0,-1,-1
ZH,2.61,47.0,BUY,56.9,3,2,ML_Ensemble,1.811,35.52,68.2,-18.1,22,0,0,1,1,1,0,-1,-1
EDU,54.48,29.0,SELL,39.4,0,1,MultiFactor,1.873,8.9,50.0,-1.69,8,0,0,0,0,0,0,-1,0
TAL,10.82,28.4,BUY,62.5,2,1,RSI_MR,11.486,27.22,100.0,0.0,5,0,0,0,0,0,1,-1,1
RLX,2.12,36.8,SELL,49.7,1,2,Reversal,2.533,14.33,50.0,-8.06,8,0,0,0,0,0,-1,-1,1
ATHM,16.92,36.3,SELL,64.1,2,3,BB_Revert,4.811,10.71,83.3,0.0,6,0,0,1,0,1,-1,-1,-1
MNSO,15.89,31.0,SELL,54.6,1,2,BB_Revert,3.429,9.95,57.1,-2.63,7,0,0,0,1,0,0,-1,-1
YUMC,49.59,27.1,BUY,67.4,3,2,Reversal,6.388,17.35,87.5,-2.16,8,0,-1,1,1,1,0,-1,0
WB,8.58,40.8,NEUTRAL,24.5,2,2,ML_Ensemble,1.022,15.65,56.5,-18.53,23,0,0,0,0,1,-1,-1,1
MOMO,5.74,34.3,NEUTRAL,49.1,2,2,VRP,2.411,55.95,59.1,-14.16,44,0,0,1,0,0,-1,-1,1
BZUN,2.095,80.8,SELL,67.7,0,3,ML_Ensemble,1.986,34.1,59.1,-10.22,22,0,0,0,0,0,-1,-1,-1
DOYU,4.66,54.4,SELL,56.3,0,3,RSI_MR,1.825,18.6,62.5,-15.6,8,0,0,0,0,0,-1,-1,-1
HUYA,3.01,71.9,SELL,20.8,1,2,Reversal,0.237,0.6,55.6,-18.64,18,0,0,0,0,0,-1,-1,1
CAN,0.411,72.8,SELL,48.7,2,3,ML_Ensemble,0.996,21.72,60.0,-21.63,20,0,0,1,0,1,-1,-1,-1
CANG,0.39,125.2,SELL,58.8,2,3,VRP,3.33,410.71,68.2,-28.55,44,0,0,1,0,1,-1,-1,-1
