symbol,price,signal,score,confidence,buy_votes,sell_votes,ret_1d,ret_5d,ret_1mo,ret_3mo,vol_ann,reason,sig_trend,sig_momentum,sig_rsi,sig_macd,sig_bollinger,sig_volume,sig_reversal,sig_volatility
XRP-USD,1.3174,NEUTRAL,-1,12.5,2,3,-0.1,-41.3,-41.3,-41.3,39.6,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -55.8% | RSI=27.8 (oversold),-1,-1,1,-1,1,0,0,0
DOT-USD,1.2498,NEUTRAL,-1,12.5,2,3,1.09,-71.21,-71.21,-71.21,60.0,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -64.5% | RSI=11.0 (oversold),-1,-1,1,-1,1,0,0,0
ETH-USD,2050.9026,NEUTRAL,0,0.0,2,2,-0.29,-22.1,-22.1,-22.1,54.4,12-1mo return: -44.1% | RSI=42.5 (bullish zone) | MACD line below signal,0,-1,1,-1,1,0,0,0
BNB-USD,587.2184,NEUTRAL,-1,12.5,2,3,0.7,-13.03,-13.03,-13.03,28.6,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -17.3% | RSI=28.5 (oversold),-1,-1,1,-1,1,0,0,0
SOL-USD,79.8601,WEAK SELL,-2,25.0,2,4,1.15,-52.06,-52.06,-52.06,49.1,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -52.3% | RSI=31.9 (bullish zone),-1,-1,1,-1,1,0,0,-1
BTC-USD,66856.3281,NEUTRAL,-1,12.5,2,3,-0.05,-36.71,-36.71,-36.71,35.6,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -39.8% | RSI=38.5 (bullish zone),-1,-1,1,-1,1,0,0,0
LINK-USD,8.7027,NEUTRAL,-1,12.5,2,3,0.86,-42.14,-42.14,-42.14,49.1,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -50.6% | RSI=43.2 (bullish zone),-1,-1,1,-1,1,0,0,0
AVAX-USD,9.0,WEAK SELL,-2,25.0,1,3,2.83,-59.55,-59.55,-59.55,53.3,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -61.0% | RSI=41.7 (bullish zone),-1,-1,1,-1,0,0,0,0
DOGE-USD,0.0914,NEUTRAL,-1,12.5,2,3,1.09,-57.47,-57.47,-57.47,42.9,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -59.3% | RSI=43.7 (bullish zone),-1,-1,1,-1,1,0,0,0
LTC-USD,52.8994,NEUTRAL,-1,12.5,2,3,1.22,-43.17,-43.17,-43.17,36.3,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -51.5% | RSI=37.0 (bullish zone),-1,-1,1,-1,1,0,0,0
ADA-USD,0.2466,NEUTRAL,-1,12.5,2,3,3.01,-65.87,-65.87,-65.87,54.0,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -67.6% | RSI=39.6 (bullish zone),-1,-1,1,-1,1,0,0,0
UNI7083-USD,3.2001,WEAK SELL,-2,25.0,2,4,0.83,-51.2,-51.2,-51.2,61.4,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -62.0% | RSI=35.0 (bullish zone),-1,-1,1,-1,1,0,0,-1
ATOM-USD,1.6933,NEUTRAL,-1,12.5,2,3,1.68,-63.29,-63.29,-63.29,38.2,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -61.0% | RSI=30.3 (bullish zone),-1,-1,1,-1,1,0,0,0
FIL-USD,0.8406,WEAK SELL,-2,25.0,2,4,2.94,-69.55,-69.55,-69.55,68.7,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -67.3% | RSI=41.2 (bullish zone),-1,-1,1,-1,1,0,0,-1
