symbol,price,signal,score,confidence,buy_votes,sell_votes,ret_1d,ret_5d,ret_1mo,ret_3mo,vol_ann,reason,sig_trend,sig_momentum,sig_rsi,sig_macd,sig_bollinger,sig_volume,sig_reversal,sig_volatility
AMGN,348.77,WEAK BUY,2,25.0,3,1,-1.24,27.59,27.59,27.59,21.8,12-1mo return: +38.8% | RSI=20.4 (oversold) | MACD line below signal,0,1,1,-1,1,0,0,0
AAPL,248.8,WEAK BUY,2,25.0,3,1,-1.62,24.65,24.65,24.65,16.1,12-1mo return: +36.7% | RSI=32.1 (bullish zone) | MACD line below signal,0,1,1,-1,1,0,0,0
AXP,292.27,BUY,3,37.5,4,1,-2.38,0.22,0.22,0.22,18.9,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: +15.0% | RSI=32.8 (bullish zone),-1,1,1,1,1,0,0,0
CAT,695.4,NEUTRAL,1,12.5,2,1,-1.11,99.59,99.59,99.59,33.7,12-1mo return: +116.1% | MACD line below signal | Near lower band (BB%=0.35),0,1,0,-1,1,0,0,0
CRM,179.31,NEUTRAL,0,0.0,3,3,-3.41,-34.99,-34.99,-34.99,38.4,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -27.7% | RSI=30.6 (bullish zone),-1,-1,1,-1,1,0,1,0
BA,190.52,WEAK BUY,2,25.0,3,1,-1.98,-5.23,-5.23,-5.23,37.0,12-1mo return: +14.1% | RSI=23.4 (oversold) | MACD line below signal,0,1,1,-1,1,0,0,0
DOW,40.82,NEUTRAL,-1,12.5,2,3,3.42,50.7,50.7,50.7,50.9,Price > SMA50 > SMA200 (uptrend) | RSI=73.1 (overbought) | MACD line above signal,1,0,-1,1,-1,0,-1,0
CSCO,79.92,WEAK BUY,2,25.0,3,1,-2.73,27.56,27.56,27.56,25.9,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +24.7% | RSI=63.3 (bearish zone),1,1,-1,1,0,0,0,0
IBM,236.34,WEAK BUY,2,25.0,3,1,-2.21,-8.59,-8.59,-8.59,30.7,Price < SMA50 < SMA200 (downtrend) | RSI=33.7 (bullish zone) | MACD line above signal,-1,0,1,1,1,0,0,0
GS,802.89,BUY,4,50.0,4,0,-2.4,33.1,33.1,33.1,28.3,12-1mo return: +53.2% | RSI=40.6 (bullish zone) | MACD line above signal,0,1,1,1,1,0,0,0
HD,321.65,NEUTRAL,0,0.0,2,2,-2.06,-10.97,-10.97,-10.97,24.8,Price < SMA50 < SMA200 (downtrend) | RSI=28.1 (oversold) | MACD line below signal,-1,0,1,-1,1,0,0,0
DIS,92.42,NEUTRAL,1,12.5,3,2,-2.46,-16.84,-16.84,-16.84,14.0,Price < SMA50 < SMA200 (downtrend) | RSI=14.8 (oversold) | MACD line below signal,-1,0,1,-1,1,0,1,0
CVX,211.15,NEUTRAL,1,12.5,3,2,1.62,58.16,58.16,58.16,20.3,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +37.9% | RSI=84.4 (overbought),1,1,-1,1,-1,0,0,0
INTC,43.13,WEAK BUY,2,25.0,3,1,-2.2,109.88,109.88,109.88,64.2,12-1mo return: +121.2% | RSI=43.6 (bullish zone) | MACD line below signal,0,1,1,-1,1,0,0,0
