symbol,price,signal,score,confidence,buy_votes,sell_votes,ret_1d,ret_5d,ret_1mo,ret_3mo,vol_ann,reason,sig_trend,sig_momentum,sig_rsi,sig_macd,sig_bollinger,sig_volume,sig_reversal,sig_volatility
AAPL,272.845,NEUTRAL,0,0.0,3,3,0.97,39.89,39.89,39.89,22.5,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +27.6% | RSI=78.3 (overbought),1,1,-1,1,-1,0,-1,0
AXP,332.06,NEUTRAL,-1,12.5,1,2,0.11,14.59,14.59,14.59,23.3,RSI=83.3 (overbought) | MACD line above signal | Near upper band (BB%=0.90),0,0,-1,1,-1,0,0,0
CSCO,87.63,NEUTRAL,0,0.0,3,3,1.6,37.22,37.22,37.22,28.2,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +22.3% | RSI=88.0 (overbought),1,1,-1,1,-1,0,-1,0
BA,222.76,NEUTRAL,0,0.0,2,2,-0.28,11.24,11.24,11.24,34.2,Price > SMA50 > SMA200 (uptrend) | RSI=80.9 (overbought) | MACD line above signal,1,0,-1,1,-1,0,0,0
CVX,184.26,WEAK BUY,2,25.0,3,1,0.15,27.8,27.8,27.8,30.7,12-1mo return: +39.7% | RSI=22.7 (oversold) | MACD line below signal,0,1,1,-1,1,0,0,0
CRM,185.46,SELL,-3,37.5,1,4,1.82,-28.89,-28.89,-28.89,44.0,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -25.4% | MACD line above signal,-1,-1,0,1,-1,0,-1,0
AMGN,351.8,WEAK BUY,2,25.0,2,0,-0.99,24.0,24.0,24.0,19.3,12-1mo return: +23.3% | MACD line above signal,0,1,0,1,0,0,0,0
CAT,796.3,NEUTRAL,1,12.5,3,2,0.21,124.61,124.61,124.61,42.8,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +94.2% | RSI=81.7 (overbought),1,1,-1,1,-1,0,0,0
HON,230.65,NEUTRAL,1,12.5,2,1,-1.24,12.13,12.13,12.13,21.7,12-1mo return: +11.3% | RSI=59.5 (bearish zone) | MACD line above signal,0,1,-1,1,0,0,0,0
DOW,37.045,BUY,3,37.5,4,1,4.06,31.08,31.08,31.08,61.8,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +32.7% | RSI=35.9 (bullish zone),1,1,1,-1,1,0,0,0
GS,934.61,NEUTRAL,1,12.5,3,2,0.94,51.97,51.97,51.97,31.4,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +31.6% | RSI=83.6 (overbought),1,1,-1,1,-1,0,0,0
DIS,106.395,WEAK SELL,-2,25.0,1,3,0.1,-8.94,-8.94,-8.94,24.5,12-1mo return: -15.1% | RSI=90.3 (overbought) | MACD line above signal,0,-1,-1,1,-1,0,0,0
JNJ,233.06,WEAK BUY,2,25.0,3,1,-0.48,55.87,55.87,55.87,14.1,12-1mo return: +58.9% | RSI=29.9 (oversold) | MACD line below signal,0,1,1,-1,1,0,0,0
IBM,253.3,WEAK SELL,-2,25.0,1,3,-0.07,-8.89,-8.89,-8.89,29.5,RSI=65.7 (bearish zone) | MACD line above signal | Near upper band (BB%=0.93),0,0,-1,1,-1,0,-1,0
KO,76.02,NEUTRAL,0,0.0,1,1,0.37,11.56,11.56,11.56,15.1,12-1mo return: +10.9% | MACD line below signal,0,1,0,-1,0,0,0,0
INTC,65.8999,NEUTRAL,1,12.5,3,2,-3.8,216.83,216.83,216.83,74.8,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +122.0% | RSI=87.8 (overbought),1,1,-1,1,-1,0,0,0
HD,347.68,WEAK SELL,-2,25.0,1,3,-0.49,1.57,1.57,1.57,32.0,Price < SMA50 < SMA200 (downtrend) | RSI=66.2 (bearish zone) | MACD line above signal,-1,0,-1,1,-1,0,0,0
MMM,152.07,WEAK SELL,-2,25.0,1,3,-1.6,8.37,8.37,8.37,25.7,Price < SMA50 < SMA200 (downtrend) | RSI=72.5 (overbought) | MACD line above signal,-1,0,-1,1,-1,0,0,0
PG,145.62,NEUTRAL,0,0.0,1,1,-0.89,-6.2,-6.2,-6.2,18.0,MACD line above signal | Near upper band (BB%=0.79),0,0,0,1,-1,0,0,0
MRK,118.5,NEUTRAL,0,0.0,1,1,-0.48,55.32,55.32,55.32,24.6,12-1mo return: +49.7% | MACD line below signal,0,1,0,-1,0,0,0,0
MSFT,417.47,SELL,-3,37.5,1,4,-1.26,-12.16,-12.16,-12.16,30.5,12-1mo return: -18.1% | RSI=86.6 (overbought) | MACD line above signal,0,-1,-1,1,-1,0,-1,0
MCD,308.97,NEUTRAL,1,12.5,1,0,-0.77,7.53,7.53,7.53,14.5,MACD line above signal,0,0,0,1,0,0,0,0
TRV,304.115,WEAK BUY,2,25.0,4,2,1.1,16.36,16.36,16.36,18.3,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +13.6% | RSI=68.8 (bearish zone),1,1,-1,1,-1,0,0,1
UNH,323.64,NEUTRAL,-1,12.5,1,2,-0.3,6.98,6.98,6.98,41.0,RSI=92.5 (overbought) | MACD line above signal | Near upper band (BB%=0.85),0,0,-1,1,-1,0,0,0
JPM,315.46,NEUTRAL,-1,12.5,1,2,1.67,19.32,19.32,19.32,24.7,RSI=82.4 (overbought) | MACD line above signal | Near upper band (BB%=0.86),0,0,-1,1,-1,0,0,0
NKE,46.105,NEUTRAL,1,12.5,2,1,0.16,-21.75,-21.75,-21.75,62.6,Price < SMA50 < SMA200 (downtrend) | RSI=35.6 (bullish zone) | MACD line above signal,-1,0,1,1,0,0,0,0
VZ,46.795,WEAK BUY,2,25.0,3,1,0.53,19.35,19.35,19.35,20.6,12-1mo return: +24.3% | RSI=30.0 (oversold) | MACD line below signal,0,1,1,-1,1,0,0,0
IWM,277.0599,WEAK BUY,2,25.0,4,2,0.46,33.91,33.91,33.91,22.1,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +19.7% | RSI=98.3 (overbought),1,1,-1,1,-1,0,0,1
SPY,707.6799,WEAK BUY,2,25.0,4,2,-0.35,19.79,19.79,19.79,18.1,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +11.4% | RSI=96.4 (overbought),1,1,-1,1,-1,0,0,1
V,313.98,WEAK SELL,-2,25.0,1,3,-0.96,-11.75,-11.75,-11.75,19.7,12-1mo return: -15.8% | RSI=67.9 (bearish zone) | MACD line above signal,0,-1,-1,1,-1,0,0,0
QQQ,644.71,WEAK BUY,2,25.0,4,2,-0.64,22.44,22.44,22.44,22.5,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +12.5% | RSI=95.6 (overbought),1,1,-1,1,-1,0,0,1
WMT,128.405,NEUTRAL,1,12.5,3,2,0.71,37.12,37.12,37.12,24.3,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +29.0% | RSI=60.6 (bearish zone),1,1,-1,1,-1,0,0,0
DIA,494.0,WEAK BUY,2,25.0,4,2,-0.04,18.48,18.48,18.48,17.2,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +10.3% | RSI=90.5 (overbought),1,1,-1,1,-1,0,0,1
VT,150.245,WEAK BUY,2,25.0,4,2,-0.39,22.64,22.64,22.64,20.0,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +13.6% | RSI=94.9 (overbought),1,1,-1,1,-1,0,0,1
VTI,349.724,WEAK BUY,2,25.0,4,2,-0.23,20.36,20.36,20.36,18.1,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +11.7% | RSI=97.0 (overbought),1,1,-1,1,-1,0,0,1
XLE,55.41,WEAK BUY,2,25.0,3,1,0.71,29.01,29.01,29.01,27.2,12-1mo return: +37.3% | RSI=22.0 (oversold) | MACD line below signal,0,1,1,-1,1,0,0,0
SCHB,27.365,WEAK BUY,2,25.0,4,2,-0.24,20.17,20.17,20.17,18.1,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +11.4% | RSI=97.3 (overbought),1,1,-1,1,-1,0,0,1
ITOT,155.21,WEAK BUY,2,25.0,4,2,-0.24,20.27,20.27,20.27,18.2,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +11.5% | RSI=96.7 (overbought),1,1,-1,1,-1,0,0,1
XLF,52.595,NEUTRAL,-1,12.5,1,2,0.31,6.3,6.3,6.3,17.7,RSI=87.6 (overbought) | MACD line above signal | Near upper band (BB%=0.89),0,0,-1,1,-1,0,0,0
XLI,173.73,WEAK BUY,2,25.0,4,2,0.13,23.52,23.52,23.52,24.1,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +16.3% | RSI=82.3 (overbought),1,1,-1,1,-1,0,0,1
XLK,153.675,NEUTRAL,1,12.5,3,2,-0.44,28.09,28.09,28.09,27.1,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +15.2% | RSI=97.5 (overbought),1,1,-1,1,-1,0,0,0
XLU,46.235,WEAK BUY,2,25.0,3,1,0.16,18.36,18.36,18.36,9.9,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +18.3% | MACD line below signal,1,1,0,-1,0,0,0,1
XLV,148.41,NEUTRAL,0,0.0,2,2,-0.26,13.18,13.18,13.18,15.9,12-1mo return: +11.3% | RSI=63.2 (bearish zone) | MACD line above signal,0,1,-1,1,-1,0,0,0
XLY,119.37,NEUTRAL,-1,12.5,1,2,-0.86,14.4,14.4,14.4,26.4,RSI=80.2 (overbought) | MACD line above signal | Near upper band (BB%=0.92),0,0,-1,1,-1,0,0,0
XLP,82.605,NEUTRAL,0,0.0,1,1,0.18,5.41,5.41,5.41,13.8,MACD line above signal | Near upper band (BB%=0.78),0,0,0,1,-1,0,0,0
QUAL,206.37,WEAK BUY,2,25.0,4,2,-0.27,16.97,16.97,16.97,18.9,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +10.1% | RSI=91.6 (overbought),1,1,-1,1,-1,0,0,1
XLC,118.94,WEAK BUY,2,25.0,4,2,-0.13,16.43,16.43,16.43,18.4,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +10.4% | RSI=96.0 (overbought),1,1,-1,1,-1,0,0,1
VTV,204.66,WEAK BUY,2,25.0,4,2,0.21,20.99,20.99,20.99,12.0,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +15.5% | RSI=83.7 (overbought),1,1,-1,1,-1,0,0,1
XLB,52.355,WEAK BUY,2,25.0,4,2,0.92,22.35,22.35,22.35,17.7,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +11.1% | RSI=78.1 (overbought),1,1,-1,1,-1,0,0,1
XLRE,44.595,NEUTRAL,1,12.5,3,2,0.26,10.5,10.5,10.5,11.4,Price > SMA50 > SMA200 (uptrend) | RSI=98.7 (overbought) | MACD line above signal,1,0,-1,1,-1,0,0,1
MTUM,273.0,NEUTRAL,1,12.5,3,2,-0.53,19.43,19.43,19.43,28.0,Price > SMA50 > SMA200 (uptrend) | RSI=96.1 (overbought) | MACD line above signal,1,0,-1,1,-1,0,0,1
USMV,94.97,NEUTRAL,1,12.5,3,2,0.12,4.36,4.36,4.36,10.2,Price > SMA50 > SMA200 (uptrend) | RSI=74.9 (overbought) | MACD line above signal,1,0,-1,1,-1,0,0,1
NOBL,109.17,NEUTRAL,1,12.5,3,2,0.33,12.53,12.53,12.53,11.6,Price > SMA50 > SMA200 (uptrend) | RSI=74.9 (overbought) | MACD line above signal,1,0,-1,1,-1,0,0,1
DGRO,73.275,WEAK BUY,2,25.0,4,2,0.12,19.73,19.73,19.73,11.6,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +13.6% | RSI=89.5 (overbought),1,1,-1,1,-1,0,0,1
VUG,490.435,NEUTRAL,-1,12.5,1,2,-0.71,17.2,17.2,17.2,25.0,RSI=95.5 (overbought) | MACD line above signal | Near upper band (BB%=0.90),0,0,-1,1,-1,0,0,0
COWZ,63.2844,WEAK BUY,2,25.0,4,2,0.39,17.89,17.89,17.89,9.7,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +15.8% | RSI=64.7 (bearish zone),1,1,-1,1,-1,0,0,1
BIL,91.5599,WEAK BUY,2,25.0,3,1,0.01,3.27,3.27,3.27,0.2,Price > SMA50 > SMA200 (uptrend) | MACD bullish crossover | Near upper band (BB%=0.91),1,0,0,1,-1,0,0,1
IEF,95.7903,NEUTRAL,1,12.5,3,2,-0.15,4.64,4.64,4.64,5.7,Price > SMA50 > SMA200 (uptrend) | RSI=64.3 (bearish zone) | MACD line above signal,1,0,-1,1,-1,0,0,1
SHY,82.605,NEUTRAL,1,12.5,3,2,-0.04,3.32,3.32,3.32,1.7,Price > SMA50 > SMA200 (uptrend) | RSI=73.5 (overbought) | MACD line above signal,1,0,-1,1,-1,0,0,1
TLT,86.915,NEUTRAL,-1,12.5,1,2,-0.18,4.27,4.27,4.27,9.4,RSI=55.8 (bearish zone) | MACD line above signal | Near upper band (BB%=0.72),0,0,-1,1,-1,0,0,0
TIPS,0.004,SELL,-3,37.5,1,4,48.15,-89.13,-89.13,-89.13,870.9,12-1mo return: -97.6% | RSI=85.4 (overbought) | MACD line above signal,0,-1,-1,1,-1,0,-1,0
HYG,80.5275,NEUTRAL,1,12.5,3,2,-0.15,6.4,6.4,6.4,6.1,Price > SMA50 > SMA200 (uptrend) | RSI=82.0 (overbought) | MACD line above signal,1,0,-1,1,-1,0,0,1
BND,73.985,NEUTRAL,1,12.5,3,2,-0.1,5.0,5.0,5.0,4.3,Price > SMA50 > SMA200 (uptrend) | RSI=71.4 (overbought) | MACD line above signal,1,0,-1,1,-1,0,0,1
AGG,99.7793,NEUTRAL,1,12.5,3,2,-0.07,5.14,5.14,5.14,4.3,Price > SMA50 > SMA200 (uptrend) | RSI=71.4 (overbought) | MACD line above signal,1,0,-1,1,-1,0,0,1
LQD,109.935,NEUTRAL,1,12.5,3,2,-0.1,5.7,5.7,5.7,6.4,Price > SMA50 > SMA200 (uptrend) | RSI=74.1 (overbought) | MACD line above signal,1,0,-1,1,-1,0,0,1
EMB,96.5,NEUTRAL,1,12.5,3,2,-0.18,10.54,10.54,10.54,9.2,Price > SMA50 > SMA200 (uptrend) | RSI=86.4 (overbought) | MACD line above signal,1,0,-1,1,-1,0,0,1
GLD,440.84,NEUTRAL,0,0.0,2,2,-1.14,41.32,41.32,41.32,30.7,12-1mo return: +36.7% | RSI=68.3 (bearish zone) | MACD line above signal,0,1,-1,1,-1,0,0,0
PDBC,17.155,WEAK BUY,2,25.0,3,1,1.87,29.04,29.04,29.04,28.8,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +29.5% | RSI=44.3 (bullish zone),1,1,1,-1,0,0,0,0
WEAT,22.87,NEUTRAL,0,0.0,1,1,1.78,-1.85,-1.85,-1.85,22.2,Price > SMA50 > SMA200 (uptrend) | MACD line below signal,1,0,0,-1,0,0,0,0
SLV,72.28,NEUTRAL,1,12.5,3,2,-1.83,114.23,114.23,114.23,49.8,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +94.7% | RSI=72.3 (overbought),1,1,-1,1,-1,0,0,0
SOYB,24.54,NEUTRAL,-1,12.5,2,3,0.08,8.78,8.78,8.78,8.8,Price > SMA50 > SMA200 (uptrend) | RSI=63.5 (bearish zone) | MACD line below signal,1,0,-1,-1,-1,0,0,1
USO,121.87,WEAK BUY,2,25.0,3,1,5.02,48.08,48.08,48.08,82.5,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +42.6% | RSI=44.1 (bullish zone),1,1,1,-1,0,0,0,0
DBC,28.795,NEUTRAL,1,12.5,2,1,1.79,28.96,28.96,28.96,27.5,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +29.2% | MACD line below signal,1,1,0,-1,0,0,0,0
EFA,103.735,WEAK BUY,2,25.0,4,2,-0.56,21.45,21.45,21.45,23.0,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +13.0% | RSI=84.3 (overbought),1,1,-1,1,-1,0,0,1
CORN,18.1164,WEAK BUY,2,25.0,3,1,0.93,-0.62,-0.62,-0.62,14.3,Price > SMA50 > SMA200 (uptrend) | RSI=44.6 (bullish zone) | MACD line below signal,1,0,1,-1,0,0,0,1
UNG,10.9872,WEAK SELL,-2,25.0,1,3,1.36,-37.5,-37.5,-37.5,36.3,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -28.6% | RSI=33.1 (bullish zone),-1,-1,1,-1,0,0,0,0
EEM,63.055,NEUTRAL,1,12.5,3,2,-0.92,37.22,37.22,37.22,31.2,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +25.4% | RSI=87.2 (overbought),1,1,-1,1,-1,0,0,0
VEA,69.16,WEAK BUY,2,25.0,4,2,-0.67,28.01,28.01,28.01,24.6,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +18.5% | RSI=85.0 (overbought),1,1,-1,1,-1,0,0,1
EWJ,89.25,NEUTRAL,1,12.5,3,2,-1.04,28.1,28.1,28.1,28.7,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +20.7% | RSI=75.2 (overbought),1,1,-1,1,-1,0,0,0
IEMG,77.395,WEAK BUY,2,25.0,4,2,-0.9,35.97,35.97,35.97,30.9,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +24.3% | RSI=87.7 (overbought),1,1,-1,1,-1,0,0,1
EWA,30.03,WEAK BUY,2,25.0,4,2,-0.6,18.52,18.52,18.52,22.3,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +11.5% | RSI=87.0 (overbought),1,1,-1,1,-1,0,0,1
FXI,37.575,NEUTRAL,-1,12.5,1,2,-0.07,4.81,4.81,4.81,19.2,RSI=84.9 (overbought) | MACD line above signal | Near upper band (BB%=0.95),0,0,-1,1,-1,0,0,0
EWZ,41.36,WEAK BUY,2,25.0,4,2,0.49,52.29,52.29,52.29,28.5,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +34.4% | RSI=88.3 (overbought),1,1,-1,1,-1,0,0,1
EWT,83.33,NEUTRAL,1,12.5,3,2,0.13,56.62,56.62,56.62,33.4,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +35.6% | RSI=94.2 (overbought),1,1,-1,1,-1,0,0,0
EWS,29.365,WEAK BUY,2,25.0,4,2,-0.15,18.0,18.0,18.0,16.4,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +13.5% | RSI=78.3 (overbought),1,1,-1,1,-1,0,0,1
EWH,23.48,BUY,3,37.5,4,1,0.04,24.98,24.98,24.98,19.1,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +21.5% | RSI=71.2 (overbought),1,1,-1,1,0,0,0,1
EWC,58.695,WEAK BUY,2,25.0,4,2,0.3,30.29,30.29,30.29,14.6,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +20.1% | RSI=95.7 (overbought),1,1,-1,1,-1,0,0,1
KWEB,30.21,SELL,-3,37.5,1,4,-0.79,-6.78,-6.78,-6.78,26.0,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -10.2% | RSI=76.7 (overbought),-1,-1,-1,1,-1,0,0,0
EWG,42.86,NEUTRAL,-1,12.5,1,2,-0.76,6.09,6.09,6.09,25.2,RSI=86.0 (overbought) | MACD line above signal | Near upper band (BB%=0.85),0,0,-1,1,-1,0,0,0
EWU,47.975,WEAK BUY,2,25.0,4,2,-0.57,24.75,24.75,24.75,19.3,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +17.3% | RSI=82.6 (overbought),1,1,-1,1,-1,0,0,1
